Número do produto;Nome do produto;Valor;Valor sem taxas;Taxa de imposto;Preço original;Categorias;Breve descrição;URL do produto;Etiqueta do produto;Unidades disponíveis;Visualização do produto na loja;SEO Título da página;SEO Palavras-chave;SEO Descrição;URL da imagem do produto;Peso;Largura;Comprimento;Altura;Preço unitário;Unidade;Quantidade na embalagem;Quantidade da unidade base;Availability
;LADY GOOZA GEL SENSIBILIZANTE ATIVADOR DE ORGASMO 15G;170.00;0;0;;Novos produtos/Tigelas e copos;<p>teste</p>;copo-alto5;;;1;;;;https://15a21084dd.cbaul-cdnwnd.com/a74adc5ad91b74be1ba903304180ff76/200000040-973979739a/Captura_de_tela_2025-03-25_212830-removebg-preview.png?ph=15a21084dd;;;;;0;;;;DO_NOT_SHOW
;LUB FOOD GEL PARA MASSAGEM CORPORAL BEIJÁVEL 60G;59.00;0;0;;Novos produtos/Tigelas e copos;<p>d</p>;copo-de-vidro2;Novidade;;1;;;;https://15a21084dd.cbaul-cdnwnd.com/a74adc5ad91b74be1ba903304180ff76/200000046-f3c14f3c17/Captura_de_tela_2025-03-25_213850-removebg-preview.png?ph=15a21084dd;;;;;0;;;;DO_NOT_SHOW
;LOVE LUB BUBBALOVE LUBRIFICANTE CORPORAL BEIJÁVEL 60G;35.00;0;0;;Novos produtos/Tigelas e copos;<p>s</p>;prato-de-vidro;Novidade;;1;;;;https://15a21084dd.cbaul-cdnwnd.com/a74adc5ad91b74be1ba903304180ff76/200000044-e0d9de0d9e/Captura_de_tela_2025-03-22_105958-removebg-preview.png?ph=15a21084dd;;;;;0;;;;DO_NOT_SHOW
;XANA LOKA EXCITANTE FEMININO 15G ;129.00;0;0;;Novos produtos/Tigelas e copos;"<h1 class=""font-black min-[767px]:text-2xl uppercase"">Xana Loka Excitante Feminino 15g&nbsp;</h1>";pote-de-acucar1;Novidade;;1;;;;https://15a21084dd.cbaul-cdnwnd.com/a74adc5ad91b74be1ba903304180ff76/200000048-a7668a766b/Captura_de_tela_2025-03-25_213950-removebg-preview.png?ph=15a21084dd;;;;;0;;;;DO_NOT_SHOW
;VIBRATION GEL EXCITANTE QUE VIBRA 17ML ;185.00;0;0;85.00;Novos produtos/Tigelas e copos;<p>s</p>;jarro-alto;Novidade;;1;;;;https://15a21084dd.cbaul-cdnwnd.com/a74adc5ad91b74be1ba903304180ff76/200000052-41ecb41ecd/Captura_de_tela_2025-03-25_213708-removebg-preview.png?ph=15a21084dd;;;;;0;;;;DO_NOT_SHOW
;BABALOO GEL DESLIZANTE ICE 60G;45.00;0;0;;Novos produtos/Tigelas e copos;"<p>O <strong>Babaloo</strong> é um <strong>Gel Ice Super Deslizante </strong>da <strong>Hot Flowers</strong>, um produto com formulação à base de água, com alto poder de lubrificação que traz um maior conforto nas relações.</p><h3><strong>Como o Gel Deslizante Ice funciona?</strong></h3><p>Com um delicioso aroma que remete ao docinho que tanto amamos o Babaloo Gel Deslizante Ice é a escolha perfeita para o casal que deseja uma noite memorável, ideal para ser usado durante a <strong>masturbação</strong>,<strong> massagens sensuais</strong> ou <strong>penetração</strong>, ou seja, tudo o que você mais desejava para dar aquele toque instigante e saboroso em seus momentos de <strong>prazer</strong>.</p><h3><strong>Como usar o Gel Deslizante?</strong></h3><p><br></p><ol><li>Aplicar na ponta dos dedos ou diretamente na região desejada;<br></li><li>Massagear levemente antes de iniciar a penetração;<br></li><li>Pode ser usado com preservativos e brinquedos sexuais.</li></ol><h3><strong><em>Principais dúvidas sobre o Gel Deslizante Ice</em></strong></h3>";copo-de-vidro1;;;1;;;;https://15a21084dd.cbaul-cdnwnd.com/a74adc5ad91b74be1ba903304180ff76/200000042-7a3087a30a/Captura_de_tela_2025-03-22_111141-removebg-preview.png?ph=15a21084dd;;;;;1;g;1;1;DO_NOT_SHOW
;BLOW GIRL GEL AROMATIZANTE BEIJÁVEL PARA VIRILHA 320ML;185.00;0;0;;Novos produtos/Tigelas e copos;<p><br></p>;copo-de-vidro;;;1;;;;https://15a21084dd.cbaul-cdnwnd.com/a74adc5ad91b74be1ba903304180ff76/200000036-96d3e96d3f/Captura_de_tela_2025-03-25_201237-removebg-preview.png?ph=15a21084dd;;;;;0;;;;DO_NOT_SHOW
